manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.20332665269503852,0.0821738441251408,0.2866598055625183,0.5713898218617326
0.20507314805277366,0.08420578295911149,0.2901823270964507,0.5610001306725378
0.2037615257179092,0.08268858222670988,0.28755622446177354,0.5671201247013209
0.20528757523439214,0.08349931371807064,0.28896247804528297,0.5687301136252427
0.20306112544570035,0.08273269308320788,0.2876329137689355,0.5683969580171659
0.20467034145920932,0.08377775189830985,0.2894438665757315,0.5532987533255613
0.20510020084037095,0.08427886683653725,0.2903082272973628,0.5569422942458704
0.20614729239133173,0.08533183435377842,0.29211613162196026,0.5584606988465479
0.2053196388256096,0.08429040084612306,0.2903280917274852,0.5559144977888371
0.2069078179112895,0.08599797068993474,0.29325410600694873,0.5505655020512626
