manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.24731048224433777,0.10203308600818434,0.3194261824086816,0.523520287210416
0.23277016140760914,0.09364058271514662,0.3060074880050268,0.5423307107923105
0.21820665045130638,0.08723679270896317,0.2953587525518131,0.5517278325847723
0.23451310013571094,0.09536832367071144,0.30881762202101004,0.5414719589522984
0.2147610846257979,0.08562368010070737,0.29261524242716297,0.5523944997312351
0.2147348789438125,0.08735528670472946,0.2955592778187304,0.5385387583800656
0.2143558484027463,0.08601563539668554,0.29328422289084277,0.5494036122785371
0.20957359031323464,0.08427296882779835,0.2902980689357033,0.5626784123808353
0.2160463714888019,0.0864543089450571,0.294031136012935,0.5448733528906728
0.2243014116633323,0.0904545870650402,0.3007566908067719,0.546558462203232
