manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.19576683103858528,0.07713624537757321,0.27773412713883977,0.601843947431761
0.19425929809455297,0.07550448398526162,0.27478079260614563,0.6080995851335548
0.19657588375992513,0.07735881770485434,0.278134531665621,0.6000672384560966
0.19458894513000796,0.07545190283605785,0.27468509758641413,0.6093854808437604
0.19898894365588626,0.07997951456932256,0.2828064966886768,0.5852324665267683
0.19613768969588544,0.07712571765932344,0.27771517362096626,0.5985654659177704
0.19509547546041672,0.07629059516659557,0.2762075219225493,0.6051758437704452
0.19231758970711102,0.07420845333678742,0.27241228558342856,0.6191263426735154
0.19663316329879377,0.07824883396391451,0.279729930404157,0.5962022082952159
0.19566532452262225,0.07708857601684962,0.27764829554104886,0.6026301333348933
