manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.2075541068700129,0.2075541068700129,0.30629111643517226,0.5079078637692813
0.2047585196963293,0.2047585196963293,0.2821302239421184,0.5816415771487489
0.2099048137282561,0.2099048137282561,0.31880664252839935,0.48137430989422664
0.20443086889798273,0.20443086889798273,0.2815018179572499,0.5802370939355738
0.20774348596771638,0.20774348596771638,0.3055496829767758,0.5144311602135215
0.20986874264562297,0.20986874264562297,0.3121084686901498,0.47173643317673486
0.2029468927880327,0.2029468927880327,0.27981674546750057,0.5873193717974596
0.20552704743727412,0.20552704743727412,0.3065798524703171,0.5099245074534329
0.20334268303337938,0.20334268303337938,0.2811282162152698,0.580757706642629
0.20373747604882314,0.20373747604882314,0.2820361812300559,0.581471177843948
