manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.20003931358937294,0.07844000480792698,0.28007142804635926,0.5976299401866193
0.1989969810555058,0.07841586787368102,0.2800283340551113,0.6006858094205363
0.1987419366067456,0.07798151459495181,0.27925170473061006,0.6016147592076151
0.19743044631135082,0.07628954026821826,0.27620561230398316,0.611318204055657
0.2026018151929302,0.0809665309467825,0.28454618420703254,0.5839814546535562
0.199314517215375,0.07779482091195429,0.27891722949999753,0.6065117259706201
0.19845463768128427,0.07778764090386973,0.2789043579865143,0.6047506695787139
0.2018225804740383,0.08015922451285093,0.28312404439194305,0.5877606919913733
0.19825504150121442,0.07763653366918412,0.27863333194214956,0.6021519563365596
0.19981149420622857,0.07841208323911787,0.28002157638138864,0.6037339092310148
