manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.20222444975782256,0.08179899901981046,0.286005242993569,0.5842939453830444
0.2048797587736814,0.08273196471163122,0.28763164761832316,0.5661917250867683
0.20502004133197732,0.08368066246495628,0.28927610074970983,0.5662315306756469
0.2041082162895279,0.08243607303661865,0.2871168282017246,0.5623156291174296
0.20415831431119383,0.0817175345592885,0.2858627897423666,0.5803264949111787
0.20535070128813535,0.08367294700561813,0.2892627646373071,0.5628194269916105
0.20242484994785104,0.08149819635724205,0.2854788895124157,0.5782176517997859
0.20456913874479,0.08278657365505068,0.28772656056584467,0.5628755028193325
0.2081362684551843,0.08447735361890896,0.2906498815050661,0.5598867777397771
0.202324652538032,0.0809142299982775,0.2844542669714721,0.5770915742985278
