manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.20995791630181138,0.20995791630181138,0.29062558758777807,0.5617545397303609
0.519982964997301,0.519982964997301,0.5874072738296084,0.42187325829596967
0.5802354681993535,0.5802354681993535,0.6514624520801622,0.321666804791103
0.20952605107982078,0.20952605107982078,0.29230234231315555,0.5520667466328588
0.6503677375617629,0.6503677375617629,0.7170549581112787,0.3074955599653745
0.634385771407393,0.634385771407393,0.7490922910505047,0.048271093643920515
0.6037244498849155,0.6037244498849155,0.6722629565660879,0.3799920349338891
0.6058557086191578,0.6058557086191578,0.6843261169295953,0.24653317440619216
0.5844358716794628,0.5844358716794628,0.6483130825357774,0.4457934323535209
0.5382535078912556,0.5382535078912556,0.6228192152270551,0.2662335542957072
