manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.20124321302097645,0.0807809604990331,0.2842199157325769,0.5830315765910332
0.20407436986185198,0.0832182862604774,0.2884757983964641,0.5730901472561507
0.2057386910903394,0.08502193303093926,0.29158520715382535,0.559356983398547
0.20586633030493656,0.08477140151234218,0.2911552876255937,0.5571933633583073
0.20493668357810785,0.0841634976526816,0.29010945805451016,0.5620497852664748
0.20414974945873474,0.08305911289124321,0.2881997794781308,0.5743919167282279
0.20349849529362204,0.08272960528125946,0.28762754610999874,0.5758698811565661
0.2060693525285577,0.08480354622725397,0.2912104844047583,0.5522143448017557
0.20708040367778222,0.08626556090746645,0.2937099945651602,0.5512540184115181
0.20371658144045116,0.08288174587975985,0.28789189964248707,0.569248327827883
