manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.2075798992080305,0.08092838824093779,0.2844791525594411,0.5681476717017695
0.20918693965164264,0.0830956606555816,0.2882631795002296,0.553386982805163
0.20678391949255864,0.08010390810572246,0.2830263381837854,0.5754769795886556
0.20654271573397384,0.08069950677064383,0.2840765861007271,0.5702885446294597
0.20803517875479693,0.08003324427449693,0.2829014745003937,0.5754294821782255
0.20957587868005187,0.0826961266261623,0.2875693422918415,0.5653076266606185
0.20521005164678371,0.07979932514330329,0.28248774335058024,0.5795504189722885
0.21038593186804996,0.08122806024471352,0.28500536879980615,0.5654612867440783
0.2113266310092792,0.0823022699825968,0.28688372205929846,0.5617049722805816
0.2084864320323695,0.08293616734629206,0.28798640132181946,0.565516486440094
