manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.21145390974018044,0.21145390974018044,0.29800051858687365,0.5349877310327096
0.22869338625179741,0.22869338625179741,0.30886446588794375,0.479764717356986
0.22701903993954403,0.22701903993954403,0.30829645654431204,0.49624330004566164
0.20995390398946698,0.20995390398946698,0.29327439634834623,0.5462534440634934
0.2002725456663984,0.2002725456663984,0.28224211886444606,0.5886080104171685
0.19838877688906714,0.19838877688906714,0.2803859360908923,0.5881185689789323
0.21206412554265025,0.21206412554265025,0.29913258968129003,0.5298701470233604
0.20384468954885174,0.20384468954885174,0.28648233227533565,0.5982400324068637
0.20866132204900525,0.20866132204900525,0.29430726308165883,0.5516519520324701
0.21270641277213853,0.21270641277213853,0.2987164669668702,0.5614796454780693
