manual_mae_wo,manual_mse_wo,manual_rmse_wo,manual_corr_wo
0.20758316336270566,0.20758316336270566,0.2922149993458489,0.5707177840802948
0.20805109989189194,0.20805109989189194,0.29199478329580886,0.5713840554704074
0.20737574721624952,0.20737574721624952,0.29232199532438974,0.5588498827654582
0.20518036515535956,0.20518036515535956,0.28857721349724,0.570332980582737
0.204611219060206,0.204611219060206,0.28650526817967,0.5770860978863908
0.2062585190541759,0.2062585190541759,0.290713089671783,0.5752540521560494
0.2059989997332464,0.2059989997332464,0.2895504144230841,0.5672333168257825
0.20787775765917824,0.20787775765917824,0.29085774313722657,0.5663753296787136
0.20794588902192507,0.20794588902192507,0.29191592530564575,0.565974368163812
0.20965330830079043,0.20965330830079043,0.29376907917529244,0.5615084387768781
